branch_name,branch_id,branch_code,email,mobile_number,gstin,agreement_limit,secondary_mobile_number,secondary_email,state,district,city,address_1,address_2,pin_code,latitude,longitude,range,state_group_code
"Branch A","B001","BC001","branchA@example.com","1234567890","GSTIN001","50000","9876543210","branchA_secondary@example.com","State A","District A","City A","Address 1 of Branch A","Address 2 of Branch A","123456","19.0760","72.8777","Range 1","SGC001"
"Branch B","B002","BC002","branchB@example.com","2345678901","GSTIN002","100000","8765432109","branchB_secondary@example.com","State B","District B","City B","","Address 2 of Branch B","234567","20.5937","78.9629","Range 2","SGC002"
"Branch C","B003","BC003","branchC@example.com","3456789012","GSTIN003","75000","7654321098","branchC_secondary@example.com","State C","District C","","Address 1 of Branch C","Address 2 of Branch C","345678","21.0000","73.0000","Range 3","SGC003"
"Branch D","B004","BC004","branchD@example.com","4567890123","GSTIN004","60000","6543219870","branchD_secondary@example.com","State D","","City D","Address 1 of Branch D","Address 2 of Branch D","456789","22.0000","74.0000","Range 4","SGC004"
"Branch E","B005","BC005","branchE@example.com","5678901234","GSTIN005","80000","5432108765","branchE_secondary@example.com","","District E","City E","Address 1 of Branch E","Address 2 of Branch E","567890","23.0000","75.0000","Range 5","SGC005"
"Branch F","B006","BC006","branchF@example.com","6789012345","GSTIN006","70000","4321097654","","State F","District F","City F","Address 1 of Branch F","Address 2 of Branch F","678901","24.0000","76.0000","Range 6","SGC006"
"Branch G","B007","BC007","branchG@example.com","7890123456","GSTIN007","65000","","branchG_secondary@example.com","State G","District G","City G","Address 1 of Branch G","Address 2 of Branch G","789012","25.0000","77.0000","Range 7","SGC007"
"Branch H","B008","BC008","branchH@example.com","8901234567","GSTIN008","","2109875432","branchH_secondary@example.com","State H","District H","City H","Address 1 of Branch H","Address 2 of Branch H","890123","26.0000","78.0000","Range 8","SGC008"
"Branch I","B009","BC009","branchI@example.com","9012345678","","45000","1098764321","branchI_secondary@example.com","State I","District I","City I","Address 1 of Branch I","Address 2 of Branch I","901234","27.0000","79.0000","Range 9","SGC009"
"Branch J","B010","BC010","branchJ@example.com","","GSTIN010","95000","0987653210","branchJ_secondary@example.com","State J","District J","City J","Address 1 of Branch J","Address 2 of Branch J","012345","28.0000","80.0000","Range 10","SGC010"
